TIME P_Ch3_mesh1 P_Ch3_mesh2 P_Ch3_mesh3 P_Ch3_mesh4 P_Ch3_mesh5 P_Ch3_mesh6 P_Ch3_mesh7 P_Ch3_mesh8 P_Ch3_mesh9 P_Ch3_mesh10 P_Ch3_mesh11 P_Ch3_mesh12 P_Ch3_mesh13 P_Ch3_mesh14 P_Ch3_mesh15 
2.755929362504220080e+03 2.909058631184314145e+05 2.880782939388932427e+05 2.845390648987489403e+05 2.811171337744837510e+05 2.780143604118075455e+05 2.754643876564988168e+05 2.733591955352988443e+05 2.715677648738455609e+05 2.699997124932942679e+05 2.685775133577393135e+05 2.673184992152518244e+05 2.661316106841308647e+05 2.651516285333291162e+05 2.640361659814896993e+05 2.631496540417183423e+05
2.805929362504220080e+03 2.894524964277811814e+05 2.865560241333359736e+05 2.830069954727629083e+05 2.798439328262078343e+05 2.772224938407923910e+05 2.750453962363414466e+05 2.731925269848712487e+05 2.715710488329008804e+05 2.701247986311764107e+05 2.687882939354023547e+05 2.675961869699227973e+05 2.664523835885512526e+05 2.655088886268725037e+05 2.644187856663559214e+05 2.635301178362782230e+05
2.855929362504220080e+03 2.889516269189649611e+05 2.860799391598511138e+05 2.825207857297739829e+05 2.790679899780378910e+05 2.758276638408411527e+05 2.730764486438862514e+05 2.708305517556760460e+05 2.689419087841967703e+05 2.672988349706885638e+05 2.658199107293886482e+05 2.645062920990474522e+05 2.632779004849501653e+05 2.622504949676358956e+05 2.610887757833766227e+05 2.601773564315626863e+05
2.905929362504220080e+03 2.890578914861996309e+05 2.861516684706028318e+05 2.825996059503821889e+05 2.791918039794116048e+05 2.760357683435736108e+05 2.733250684406678774e+05 2.710545984860701137e+05 2.692276880158914719e+05 2.676775613859876175e+05 2.663063453407761408e+05 2.650812852066478808e+05 2.638960119034428499e+05 2.628926901779306936e+05 2.617282715309242194e+05 2.607870123082212231e+05
2.955929362504220080e+03 2.911266939217259642e+05 2.882513988879471435e+05 2.846873536908869864e+05 2.812250122720117797e+05 2.779845241794067551e+05 2.752351751952716731e+05 2.730000717982865754e+05 2.711334152880831971e+05 2.695218207134188851e+05 2.680768471219210769e+05 2.668133385950894444e+05 2.656219495594355976e+05 2.646573092215041979e+05 2.635431768177931663e+05 2.626631493919337518e+05
3.005929362504220080e+03 2.933945778959796298e+05 2.905716267971112975e+05 2.870353000134961912e+05 2.836401717710988596e+05 2.805761784739255090e+05 2.780183211748990580e+05 2.758656285722032771e+05 2.740077082668565563e+05 2.723647235205456382e+05 2.708701801215831656e+05 2.695385852396078408e+05 2.682845221957728500e+05 2.672514804746810114e+05 2.660705795183443115e+05 2.651384511614734074e+05
3.055929362504220080e+03 2.913721390362834209e+05 2.884851477125165984e+05 2.849361053204721538e+05 2.817622853731224895e+05 2.791311562458580011e+05 2.769827230041876901e+05 2.751792959183093044e+05 2.736121854844847694e+05 2.722268906536180293e+05 2.709488632218709099e+05 2.698125323593340581e+05 2.687258662619969109e+05 2.678297312085669837e+05 2.667826140062823542e+05 2.659408688217325835e+05
3.105929362504220080e+03 2.870979304254550370e+05 2.840976090333531611e+05 2.805046375040781568e+05 2.773468028345112689e+05 2.748080076113095274e+05 2.728038706632466638e+05 2.711274570972879883e+05 2.696676245396069135e+05 2.684000063373556477e+05 2.672270833431326901e+05 2.662039631578432745e+05 2.652195089275633800e+05 2.644139393235622556e+05 2.634248585285376757e+05 2.626216159777479479e+05
3.155929362504220080e+03 2.912122836526220199e+05 2.883860947611316224e+05 2.848556713107954129e+05 2.814622229585067253e+05 2.784282367329517729e+05 2.759532993141067564e+05 2.738736583367777639e+05 2.720745864067379152e+05 2.704771621928977547e+05 2.690182950394234504e+05 2.677096733775816392e+05 2.664751109988502576e+05 2.654334837298082421e+05 2.642538234481778927e+05 2.633245865818134625e+05
3.205929362504220080e+03 2.927253699512648745e+05 2.899280605592014035e+05 2.864097244485244737e+05 2.829991401091482840e+05 2.798632634346766281e+05 2.772743066960952128e+05 2.751250255622423720e+05 2.732742435123171308e+05 2.716363650078444625e+05 2.701435980914726388e+05 2.688051042075238074e+05 2.675454301126092323e+05 2.664780676900767139e+05 2.652740055759173119e+05 2.643307459820990916e+05
