TIME P_Ch0_mesh1 P_Ch0_mesh2 P_Ch0_mesh3 P_Ch0_mesh4 P_Ch0_mesh5 P_Ch0_mesh6 P_Ch0_mesh7 P_Ch0_mesh8 P_Ch0_mesh9 P_Ch0_mesh10 P_Ch0_mesh11 P_Ch0_mesh12 P_Ch0_mesh13 P_Ch0_mesh14 P_Ch0_mesh15 
1.774054362504220080e+03 9.114601803991593188e+05 9.086483201421905542e+05 9.051428391576887807e+05 9.017223419744910207e+05 8.982973732350905193e+05 8.948679053007310722e+05 8.914339167067817179e+05 8.879953931812794181e+05 8.845523267066084081e+05 8.811047117323344573e+05 8.776525369760190370e+05 8.741957719987671589e+05 8.707343510131284129e+05 8.672681635417762445e+05 8.645294583919910947e+05
1.824054362504220080e+03 8.981417100635683164e+05 8.953255350219528191e+05 8.918144451525321929e+05 8.883887198535245843e+05 8.849585351357448380e+05 8.815238695104245562e+05 8.780846985530402744e+05 8.746409905429516220e+05 8.711927013912337134e+05 8.677397707914477214e+05 8.642821216546640499e+05 8.608196641437722137e+05 8.573523034260260174e+05 8.538799475189901423e+05 8.511362502744134981e+05
1.874054362504220080e+03 8.871165105720512802e+05 8.842964505761740729e+05 8.807804367422104115e+05 8.773499964023962384e+05 8.739150729358708486e+05 8.704756208228640025e+05 8.670315844165818999e+05 8.635828974638920045e+05 8.601294839252218371e+05 8.566712599808064988e+05 8.532081362797560869e+05 8.497400191578331869e+05 8.462668098082066281e+05 8.427884008442172781e+05 8.400397638655677438e+05
1.924054362504220080e+03 9.130216467823344283e+05 9.100686583230925025e+05 9.065059811701317085e+05 9.029134226190169575e+05 8.993157599193073111e+05 8.957128956220709952e+05 8.921047358733800938e+05 8.884912068484618794e+05 8.848722845149504719e+05 8.812480406654425897e+05 8.776186991305907723e+05 8.739846792890257202e+05 8.703465888896550750e+05 8.667051404135972261e+05 8.638296068093336653e+05
1.974054362504220080e+03 9.316344666706077987e+05 9.288966092393404106e+05 9.254832388293722179e+05 9.221558336690217257e+05 9.188258891064475756e+05 9.154932232583066216e+05 9.121575356805287302e+05 9.088183760120404186e+05 9.054751226221108809e+05 9.021269650459993863e+05 8.987728328171093017e+05 8.954110822422557976e+05 8.920384935034990776e+05 8.886482284381060163e+05 8.859538313865473028e+05
2.024054362504220080e+03 8.826973058108756086e+05 8.799746895405852702e+05 8.764610331094348803e+05 8.731480812627332052e+05 8.698286399417734938e+05 8.665020165487745544e+05 8.631676836093253223e+05 8.598250678013566649e+05 8.564734624904098455e+05 8.531120136441567447e+05 8.497397511714907596e+05 8.463556731727625011e+05 8.429589097375688143e+05 8.395489594434566097e+05 8.368504985525609227e+05
2.074054362504220080e+03 8.526744678634383017e+05 8.499286805606695125e+05 8.464986446750813629e+05 8.431420117892461130e+05 8.397708701225314289e+05 8.363857320791035891e+05 8.329875610200170195e+05 8.295774658051658189e+05 8.261565511380145326e+05 8.227258592507264111e+05 8.192863265589232324e+05 8.158387253377473680e+05 8.123836626898891991e+05 8.089218190504036611e+05 8.061859590806518681e+05
2.124054362504220080e+03 8.580993665106566623e+05 8.553590416592891561e+05 8.519373236177805811e+05 8.485889868326722644e+05 8.452262579115654808e+05 8.418492649890504545e+05 8.384586603325847536e+05 8.350551910444085952e+05 8.316395113928274950e+05 8.282121702695725253e+05 8.247736535653374158e+05 8.213243514106944203e+05 8.178643201521411538e+05 8.143928353244038299e+05 8.116444219438894652e+05
2.174054362504220080e+03 8.033502195928598521e+05 8.006046187237732811e+05 7.969024335888201604e+05 7.935645203936812468e+05 7.902224995332442923e+05 7.868750822468815604e+05 7.835208925824812613e+05 7.801586622949127341e+05 7.767873594684660202e+05 7.734062593470375286e+05 7.700149743422963656e+05 7.666134577401228016e+05 7.632019890616483754e+05 7.597811432897327468e+05 7.570765369256591657e+05
2.224054362504220080e+03 7.624008068160673138e+05 7.596091163175248075e+05 7.559786939907874912e+05 7.525672698471178301e+05 7.491453487403360195e+05 7.457134949754085392e+05 7.422720462276297621e+05 7.388213876793117961e+05 7.353620487044528127e+05 7.318946990648182109e+05 7.284200966582802357e+05 7.249390254674388561e+05 7.214522531697421800e+05 7.179605283681057626e+05 7.152024734974852763e+05
