TIME T_sat_Ch0_mesh1 T_sat_Ch0_mesh2 T_sat_Ch0_mesh3 T_sat_Ch0_mesh4 T_sat_Ch0_mesh5 T_sat_Ch0_mesh6 T_sat_Ch0_mesh7 T_sat_Ch0_mesh8 T_sat_Ch0_mesh9 T_sat_Ch0_mesh10 T_sat_Ch0_mesh11 T_sat_Ch0_mesh12 T_sat_Ch0_mesh13 T_sat_Ch0_mesh14 T_sat_Ch0_mesh15 
2.009679362504220080e+03 4.184068098162299520e+02 4.181595386935210854e+02 4.178494706646632153e+02 4.175450337289347544e+02 4.172382874595697899e+02 4.169291948167445980e+02 4.166177181614775691e+02 4.163038192108093085e+02 4.159874588914984770e+02 4.156685970722953698e+02 4.153471921957759605e+02 4.150232009132251392e+02 4.146965777298380544e+02 4.143672746208828244e+02 4.141054834509338889e+02
2.059679362504220080e+03 4.179201026429287822e+02 4.176699445368614079e+02 4.173561819099462582e+02 4.170481213980680195e+02 4.167376968355383724e+02 4.164248700859585597e+02 4.161096019091294238e+02 4.157918518230265477e+02 4.154715779531172757e+02 4.151487370210882659e+02 4.148232846227738264e+02 4.144951758056678273e+02 4.141643647371853376e+02 4.138307994496026367e+02 4.135655780708498810e+02
2.109679362504220080e+03 4.169044189022483238e+02 4.166507231030138314e+02 4.163319390335068988e+02 4.160188780334141256e+02 4.157033577688281412e+02 4.153853458297400039e+02 4.150648008433597624e+02 4.147416790679776568e+02 4.144159347839261045e+02 4.140875196917605194e+02 4.137563818661870982e+02 4.134224649999016492e+02 4.130857096758780926e+02 4.127460587120498303e+02 4.124759545643638603e+02
2.159679362504220080e+03 4.158490859448754691e+02 4.155883391077441047e+02 4.152599269452550743e+02 4.149368525008777624e+02 4.146109596061695584e+02 4.142823266489916705e+02 4.139509444399432709e+02 4.136167735798699141e+02 4.132797654858405849e+02 4.129398706989602488e+02 4.125970431997100718e+02 4.122512432401930482e+02 4.119024386296191551e+02 4.115506032002585926e+02 4.112708046040723957e+02
2.209679362504220080e+03 4.152743046396517457e+02 4.150126707232796548e+02 4.146830178779568996e+02 4.143582684762614008e+02 4.140299780507356218e+02 4.136984377036276328e+02 4.133638429418947453e+02 4.130262842360473314e+02 4.126857791987450810e+02 4.123423027933222897e+02 4.119958044617525843e+02 4.116462153762714138e+02 4.112934535496771673e+02 4.109374345834404494e+02 4.106541799136250575e+02
2.259679362504220080e+03 4.131176535056698071e+02 4.128358566344509768e+02 4.124886879748061688e+02 4.121412311046882451e+02 4.117909174687199538e+02 4.114377462935801759e+02 4.110817101497660815e+02 4.107227917718881827e+02 4.103609619206631578e+02 4.099961785487439556e+02 4.096283861234967958e+02 4.092575123760393581e+02 4.088834592980578009e+02 4.085060868824194813e+02 4.082057095749032669e+02
2.309679362504220080e+03 4.113452530058362413e+02 4.110562927834282050e+02 4.106857452733300988e+02 4.103287526806778942e+02 4.099682824694848478e+02 4.096041496532481005e+02 4.092362145855239532e+02 4.088643984063402854e+02 4.084886744821903903e+02 4.081090468142633085e+02 4.077255267735512803e+02 4.073381151948223078e+02 4.069467919350234411e+02 4.065515113187806264e+02 4.062367602274509863e+02
2.359679362504220080e+03 4.112824651412612411e+02 4.109942509385152789e+02 4.106321256744115544e+02 4.102761216737613950e+02 4.099168792164997512e+02 4.095543352667207841e+02 4.091883921602518512e+02 4.088189297525682377e+02 4.084458180479354041e+02 4.080689292217377897e+02 4.076881470511914927e+02 4.073033708592315065e+02 4.069145066906338570e+02 4.065214123162714372e+02 4.062081146909669087e+02
2.409679362504220080e+03 4.102891378851992954e+02 4.099944465153351985e+02 4.096230422054279643e+02 4.092572223842836365e+02 4.088879354397787438e+02 4.085150826285790231e+02 4.081385480135319881e+02 4.077582077681636292e+02 4.073739334737518902e+02 4.069855820638801447e+02 4.065929591265256704e+02 4.061957451945066850e+02 4.057934200901000850e+02 4.053853381597440375e+02 4.050590374367254185e+02
2.459679362504220080e+03 4.096857241483556322e+02 4.093828992470537287e+02 4.090001354308832902e+02 4.086239126572291411e+02 4.082435203910124528e+02 4.078589373417701154e+02 4.074701361331088378e+02 4.070771062215083020e+02 4.066798529445808867e+02 4.062783876507473906e+02 4.058727143102560149e+02 4.054628166880417552e+02 4.050486504765131031e+02 4.046301457897217233e+02 4.042967712518181429e+02
